
## ✅ IMPLEMENTED ACHIEVEMENTS (35/60+)

| Name | Description | Explanation | Levels | Status |
|---|---|---|---|---|
| Victories (Villageois/Loup) | X victoires en villageois / loup |  | ⭐ 10 / ⭐⭐ 50 / ⭐⭐⭐ 100 / 🐺 200 | ✅ |
| Solo camp victories | X victoires en camp "solo" |  | ⭐ 5 / ⭐⭐ 10 / ⭐⭐⭐ 15 / 🐺 30 | ✅ |
| L'important, c'est de participer | Vous avez perdu mais au moins, vous avez tenté | X défaites en villageois / loup | ⭐ 10 / ⭐⭐ 50 / ⭐⭐⭐ 100 / 🐺 200 | ✅ |
| Kill enemy camp as Hunter | Tué un joueur d'un camp adverse en étant Chasseur |  | ⭐ 1 / ⭐⭐ 5 / ⭐⭐⭐ 10 / 🐺 20 | ✅ |
| Kill a villager as Hunter | Tué un villageois en tant que Chasseur |  | ⭐ 1 / ⭐⭐ 5 / ⭐⭐⭐ 10 / 🐺 20 | ✅ |
| Farmeur de loups | Un loup c'est bien, deux loups c'est mieux | En tant que chasseur, tuer deux loups dans une seule game | ⭐ 1 / ⭐⭐ 5 / ⭐⭐⭐ 10 / 🐺 20 | ✅ |
| Le Loup, c'est Khalen | Un loup vous a tué alors que vous êtes chasseur... Il évite les balles ? | Chasseur qui a été tué X fois par un loup | ⭐ 1 / ⭐⭐ 10 / ⭐⭐⭐ 25 / 🐺 50 | ✅ |
| Kill enemy camp as Villager (Assassin potion) | Tué un joueur d'un camp adverse en étant villageois (potion assassin) |  | ⭐ 1 / ⭐⭐ 5 / ⭐⭐⭐ 10 / 🐺 20 | ✅ |
| Kill a villager as Villager (Assassin potion) | Tué un villageois en étant villageois (potion assassin) |  | ⭐ 1 / ⭐⭐ 5 / ⭐⭐⭐ 10 / 🐺 20 | ✅ |
| Ponce fesses | Comme un certain streameur, tu ponces des culs | Avoir fait 100 morts en loup | 🐺 100 | ✅ |
| Je suis Vegan | Vous avez eu la victoire sans rien faire, bravo. | Gagner une partie en loup sans tuer | ⭐ 1 / ⭐⭐ 5 / ⭐⭐⭐ 10 / 🐺 20 | ✅ |
| Le seul survivant | Pas besoin des villageois ou de loup pour gagner... Vous seul survivez. | Gagner une partie en étant l'unique survivant et donc le dernier loup | ⭐ 5 / ⭐⭐ 10 / ⭐⭐⭐ 15 / 🐺 30 | ✅ |
| Map Master | Maître des terrains | Avoir une victoire sur chaque map | 🐺 4 maps | ✅ |
| Tentative de saut raté | Bien que la touche saut n'existe pas, certains ont tout de même chuté | Lié à la mort : "mort de chute" | ⭐ 1 / ⭐⭐ 5 / ⭐⭐⭐ 10 / 🐺 20 | ✅ |
| Famine Fatale | Mourir de faim, vraiment ? | Mourir de faim | ⭐ 1 / ⭐⭐ 3 / ⭐⭐⭐ 5 / 🐺 10 | ✅ |
| Roméo & Juliette | Vous ne pouviez pas survivre sans votre moitié | Être mort X fois à cause de la mort de son amoureux | ⭐ 5 / ⭐⭐ 15 / ⭐⭐⭐ 30 / 🐺 50 | ✅ |
| Bon, je reviens ! | Vous êtes mort*e certes mais vous avez au moins eu le temps d'aller faire un truc | X morts tour 1 | ⭐ 1 / ⭐⭐ 5 / ⭐⭐⭐ 10 / 🐺 20 | ✅ |
| Coupable par défaut | Malgré que vous soyez dans le camp des gentils, personne ne vous croit | Être éjecté d'un meeting en étant villageois | ⭐ 1 / ⭐⭐ 10 / ⭐⭐⭐ 25 / 🐺 50 | ✅ |
| C'est Bête | La bête ne fait pas de différence... | Mourir en Loup par La Bête | ⭐ 1 / ⭐⭐ 3 / ⭐⭐⭐ 5 / 🐺 10 | ✅ |
| Mort Explosive | Kaboom ! | Mourir explosé | ⭐ 1 / ⭐⭐ 3 / ⭐⭐⭐ 5 / 🐺 10 | ✅ |
| Écrasé | Aïe... | Mourir écrasé | ⭐ 1 / ⭐⭐ 3 / ⭐⭐⭐ 5 / 🐺 10 | ✅ |
| Mort vengée | Vous êtes un porte-malheur pour votre tueur car ce dernier passe à la trappe après vous avoir tué | Avoir un joueur qui meurt et avoir son tueur qui meurt la même journée | ⭐ 1 / ⭐⭐ 5 / ⭐⭐⭐ 10 / 🐺 20 | ✅ |
| Victime de l'Amour | Pour que l'Amour existe, vous avez dû périr | Mort X fois par le loup amoureux | ⭐ 3 / ⭐⭐ 10 / ⭐⭐⭐ 20 / 🐺 40 | ✅ |
| 117 | Bravo, vous avez tout de suite été capté | Avoir été tué aux votes en tant qu'Agent | ⭐ 1 / ⭐⭐ 5 / ⭐⭐⭐ 10 / 🐺 20 | ✅ |
| Le Louveteau Orphelin | Survivre après la perte de sa meute | Gagner en tant que Louveteau après la mort de tous les autres loups | ⭐ 1 / ⭐⭐ 3 / ⭐⭐⭐ 5 / 🐺 10 | ✅ |
| Je maîtrise le solo | Champion polyvalent des solos | Faire au moins une victoire avec tous les rôles solos | 🐺 All solos | ✅ |
| M. / Mme Bavard | La parole est d'argent... | Parler au moins 50% du temps sur une partie | ⭐ 1 / ⭐⭐ 5 / ⭐⭐⭐ 10 / 🐺 20 | ✅ |
| L'Incompris | Personne ne vous écoute... | Voter correctement pour un loup ou rôle solo au conseil mais se faire voter à la place | ⭐ 1 / ⭐⭐ 5 / ⭐⭐⭐ 10 / 🐺 20 | ✅ |
| Faux Coupable | L'erreur judiciaire... | Être voté unanimement par les autres lors d'un meeting alors que villageois | ⭐ 1 / ⭐⭐ 3 / ⭐⭐⭐ 5 / 🐺 10 | ✅ |
| Au cas où, je passe | Seul abstentionniste | Être le seul joueur à passer dans un meeting | ⭐ 1 / ⭐⭐ 5 / ⭐⭐⭐ 10 / 🐺 20 | ✅ |
| Kill surprise | Élimination surprise ! | Être le seul à voter pour un autre joueur, l'éliminant de la game | ⭐ 1 / ⭐⭐ 5 / ⭐⭐⭐ 10 / 🐺 20 | ✅ |
| Démocrate Parfait | Chaque vote compte | En tant que Villageois, voter 5 fois de suite pour des Loups ou des Rôles solos | ⭐ 1 / ⭐⭐ 3 / ⭐⭐⭐ 5 / 🐺 10 | ✅ |
| United Colors of Lycans | Caméléon des couleurs | Jouer et gagner des parties dans au moins 5 couleurs différentes | ⭐ 3 / ⭐⭐ 5 / ⭐⭐⭐ 7 / 🐺 10 | ✅ |

---

## 🔲 TO-DO ACHIEVEMENTS (Additional ideas not yet implemented)

| Name | Description | Explanation | Levels | Notes |
|---|---|---|---|---|
| Amour un trop fusionnel | Vous l'aimez tellement que... Vous l'avez croqué | Avoir tué X fois son amoureux en loup | 5 / 10 / 15 (+ Lycan 30) | Need lover + wolf kill tracking |
| 007 | Bravo, vous êtes un vrai agent | En tant qu'Agent, avoir tué l'autre Agent personnellement et ne pas avoir été voté une seule fois aux votes | / | Complex Agent logic |
| Pacifique (0 kills BR) | Tuer c'est mal... Même quand c'est le principe... | A fait 0 kill dans un BR |  | BR stats not in Discord |
| Pacifique (5 kills BR) |  | 5 kills dans un BR |  | BR stats not in Discord |
| BR top kills but loss | Tuer, c'est bien (dans le jeu), gagner c'est mieux... | Le plus de kill dans un BR mais défaite |  | BR stats not in Discord |
| Un tir, une victoire |  | Gagnant du BR avec un seul kill |  | BR stats not in Discord |
| Le gentil loup | Vous êtes un loup empathique, vous ne vouliez blesser personne, on comprend... | Perdre une partie à la récolte en loup sans avoir tuer | 11 / 20 / 30 (+ Lycan 60?) | Need loss + no kill tracking |
| Réflexe et vision ou pif | Grâce à vos divers talents, vous avez mis un point final à la game | Gagner une partie en tant que chasseur en tuant le dernier loup | 5 / 10 / 15 (+ Lycan 30?) | Need hunter final kill logic |
| Balle Perdue |  | Gagner en idiot en se faisant tirer dessus par le chasseur |  | Rare scenario |
| Einstein du Massacre |  | Gagner en tant que Scientifique en 3 jours ou moins |  | Need duration tracking |
| Le Retour des Morts |  | En tant que Loup Nécromentien, ressuciter un joueur qui tue au moins 2 joueurs avant de mourir |  | Need resurrection tracking |
| Pas de Pause AFK ! |  | En tant que Villageois, être ressucité par un Loup Nécromentien et tuer au moins 2 joueurs dans une même partie |  | Need resurrection tracking |
| Tu es un Sorcier, Harry |  | En tant que Loup Devin, deviner et tuer au moins 2 joueurs dans une même partie |  | Need role-specific tracking |
| Une Dernière Volonté ? |  | Gagner en Chasseur de Prime en moins de 15 minutes |  | Need duration tracking |
| Zombie Nation |  | Réssuciter au moins 3 joueurs en Zombie en tant que Vaudou dans une même partie |  | Need resurrection tracking |
| Revenu de Loin |  | Tuer au moins 2 joueurs en tant que Zombie dans une même partie |  | Need zombie kill tracking |
| Ménage à Trois |  | Dans un meeting avec 3 joueur, faire voter un autre joueur et gagner en Loup |  | Complex meeting logic |
| Et le temps passe... |  | Être le seul à ne pas voter lors d'un meeting alors que tout le monde a passé |  | Complex vote logic |
| Chef du village |  | En tant que chasseur, tuer tous les loups présents (classique ou amoureux) |  | Need all wolves tracking |
| Expert des milieux hostiles |  | Réssuciter des Villageois Survivaliste | 1 / 5 / 10 (+ Lycan 20?) | Need resurrection tracking |
| Immortel |  | Être réssucité en tant que Villageois Survivaliste | 1 / 5 / 10 (+ Lycan 20?) | Need resurrection tracking |
| Être un villageois comme les autres |  | En tant que zombie, boire une potion et utiliser un objet |  | Need zombie action tracking |


+ Ajouter un filtre "Non terminé" et un filtre "En cours"
