Etat	Liens	Catégorie	Nom	Description	Condition	Palier bronze	Palier argent
Sur le site	Villageois	Victoires	Héros du Village	La justice finit toujours par triompher	Gagner X victoires en Villageois	1 - 5 - 10	30 - 50 - 70
Sur le site	Villageois	Victoires	L'important c'est de participer (Villageois)	Vous avez perdu, mais au moins, vous avez tenté	Perdre X parties en Villageois	1 - 5 - 10	30 - 50 - 70
Sur le site	Loup	Victoires	Terreur Nocturne	La nuit vous appartient	Gagner X victoires en Loup	1 - 5 - 10	30 - 50 - 70
Sur le site	Loup	Victoires	L'important c'est de participer (Loup)	Même les loups ont des mauvais jours	Perdre X parties en Loup	1 - 5 - 10	30 - 50 - 70
Sur le site	Loup	Victoires	Le dernier loup	Vous n'avez besoin de personne pour gagner… Vous seul survivez.	Gagner X parties en étant l'unique survivant et donc le dernier Loup	5	10
Sur le site	Solos	Victoires	Solo Winner	Vous n'avez pas besoin d'alliés pour gagner...	Gagner X parties en camp solo (Amoureux, Idiot du Village, Agent, etc.)	5	10
Sur le site	Loup	Victoires	Je suis Vegan	Vous avez eu la victoire sans rien faire, bravo.	Gagner X parties en Loup sans tuer	1	5
Sur le site	Tous	Morts	Bon, je reviens !	Vous êtes mort·e certes, mais vous avez au moins eu le temps d'aller faire un truc	Mourir X fois la première nuit	1 - 5 - 10	30 - 50 - 70
Sur le site	Tous	Morts	Au ras des pâquerettes	Difficile quand on est petit d'éviter les pas des géants	Mourir X fois écrasé	1	5
Sur le site	Tous	Morts	Porte-malheur	Votre tueur a été victime de votre malédiction	Avoir X fois son tueur qui meurt le même jour	10	20
Sur le site	Amoureux	Morts	Roméo & Juliette	Vous ne pouviez pas survivre sans votre moitié	Mourir X fois à cause de la mort de son amoureux	10	20
Sur le site	Loup	Morts	C'est Bête	Un loup tué par La Bête... L'ironie du sort	Mourir X fois en Loup par La Bête	1	5
Sur le site	Tous	Morts	Famine Fatale	Manger, c'est surfait	Mourir X fois de faim	1	3
Sur le site	Tous	Morts	C'est moi la bombe !	Ce n'est pas la taille qui compte, c'est l'explosion	Mourir X fois d'une explosion	1	2
Sur le site	Villageois	Morts	Coupable par défaut	Vous avez beau crier que vous êtes gentil, personne ne vous croit...	Être X fois éjecté d'un meeting en étant Villageois	1	5
Sur le site	Tous	Morts	Saut raté	Bien que la touche saut n'existe pas, certains ont quand même chuté	Mourir X fois d'une chute	1	2
Sur le site	Loup	Kills	Ponce fesses	Comme un certain streameur, tu ponces des culs 	Faire X kills en Loup	1 - 5 - 10	30 - 50 - 70
Sur le site	Villageois	Kills	Le Loup, c'est Khalen	Un loup vous a tué alors que vous êtes chasseur... Il évite les balles ?	Mourir X fois en Chasseur par un Loup	5	10
Sur le site	Villageois	Kills	Justice du Chasseur	Votre balle a trouvé sa cible... La bonne cette fois	Tuer X fois un joueur ennemi en étant Chasseur	5	10
Sur le site	Tous	Kills	Victime de l'Amour	Pour que l'Amour existe, vous avez dû périr	Mourir X fois par un Amoureux Loup	10	20
Sur le site	Villageois	Kills	Tir ami	Vous avez tué quelqu'un et c'était pas un loup...	Tuer X fois un Villageois en étant Chasseur	5	10
Sur le site	Tous	Kills	Cocktail Mortel	La chimie au service de la justice...	Tuer X fois un joueur ennemi avec une potion assassin	1	3
Sur le site	Tous	Kills	Oups, mauvaise pioche	C'est pas votre faute, c'est la potion qui vous a tenté	Tuer X fois un joueur allié avec une potion assassin	1	3
Sur le site	Villageois	Kills	Farmeur de loups	Un loup, c'est bien, deux loups, c'est mieux	Tuer X fois deux Loups dans une même game en étant Chasseur	1	3
Sur le site	Agent	Rôles	117	Bravo, vous avez tout de suite été capté	Mourir X fois aux votes en étant Agent	1	3
Sur le site	Loup	Rôles	Le Louveteau Orphelin	Vous étiez trop jeune pour mourir	Gagner X fois en Louveteau après la mort des autres Loups	1	2
Sur le site	Solos	Rôles	Je maîtrise le solo	Vous savez comment gagner avec chaque rôle	Avoir X victoires avec chaque rôle solo	1	2
Sur le site	Tous	Social	Au cas où, je passe	Vous vous méfiez de la fourberie des loups	Être X fois le seul joueur à passer dans un meeting	5	10
Sur le site	Tous	Social	Kill surprise	Allez, au dernier moment, ça passe !	Être X fois le seul joueur à voter dans un meeting	5	10
Sur le site	Villageois	Social	L'Incompris	Vous l'aviez dit pourtant que vous étiez innocent...	Voter X fois pour un Loup/rôle solo mais se faire voter à la place en étant Villageois	5	10
Sur le site	Villageois	Social	Faux Coupable	Dommage, vous n'étiez pas l'idiot du village...	Être X fois voté à l'unanimité en tant que Villageois	5	10
Sur le site	Tous	Social	M. / Mme Bavard	Vous avez beaucoup de choses à dire visiblement	Avoir X fois parlé au moins 50 % du temps sur une partie	5	10
Sur le site	Villageois	Social	Troisième oeil	Vous connaissiez tous les rôles à l'avance	Faire X parties en votant que des Loups ou des solos (minimum 3 votes)	5	10
Sur le site	Tous	Cartes	Map Master	Vous connaissez chaque recoin de chaque carte	Faire X parties en explorant toutes les zones de la map	1	3
Sur le site	Tous	Spécial	United Colors of Lycans	L'arc-en-ciel des victoires	Avoir gagné une partie avec au moins X couleurs différentes	1 - 2 - 3	4 - 5 - 6
NEW	Solos	Victoires	Solo Looser	En vrai, les alliés, c'est sympa quand même...	Perdre X parties en camp solo (Amoureux, Idiot du Village, Agent, etc.)	5	10
NEW	Loup	Morts	C'est l'Amour	Un loup tué par un autre loup... C'est le ponpon	Mourir X fois en Loup par un Amoureux Loup	1	5
NEW	Villageois	Kills	Maître des loups	Un, deux, trois... Aucun loup ne vous arrête	Tuer X fois trois loups dans une même game en étant Chasseur	1	2
NEW	Amoureux	Kills	Un chouya fusionnel	Vous l'aimez tellement que... Vous l'avez croqué	Tuer X fois son amoureux en étant Amoureux Loup	1	3
NEW	Agent	Rôles	007	Bravo, vous êtes un véritable agent	Avoir X fois tué personnellement l'autre Agent et ne jamais avoir été voté en étant Agent	1	2
NEW	Battle Royale	Battle Royale	Le pacifisme incarné	Tuer, c'est mal... Même quand c'est le but du mode...	Faire X parties à 0 kill en mode BR	1 - 5 - 10	15 - 20 - 25
NEW	Battle Royale	Battle Royale	Lucky Luke	Vous tirez plus vite que votre ombre, c'est prouvé	Faire X parties à 5 kills ou plus en mode BR	1 - 5 - 10	15 - 20 - 25
NEW	Villageois	Kills	Oups	Alors, vous vous êtes trompés d'alliés...	Faire X parties en tuant deux alliés hors meeting en étant Villageois	1	5
NEW	Chasseur de primes	Rôles	C'est Hitman ?	Neutraliser quelqu'un, ça vous connaît.	Avoir X victimes en tant que Chasseur de Primes	5	10
NEW	Villageois		Encore du travail	Du travail, encore et toujours du travail...	Faire X parties en étant premier à la récolte en tant que Villageois	5	10
NEW	Battle Royale	Battle Royale	Aux portes de la Victoire	Tuer, c'est bien (dans le jeu), gagner c'est mieux...	Perdre X parties en ayant le plus de kills	1 - 5 - 10	15 - 20 - 25
NEW	Amoureux	Kills	C'est pour toi mon amour UwU	Vous tuez uniquement par passion. Elle vous fait dépasser les limites.	Faire X kills en Amoureux Loup	1 - 5 - 10	20 - 30 - 40
NEW	Tous	Kills	C'est MA couleur !	Vous voulez être le·a seul·e à la mode, ça se comprend...	Tuer X fois une personne qui porte la même couleur	5	10
NEW	Battle Royale	Battle Royale	Un tir, une victoire.	Rien ne sert de courir, il suffit de tirer	Gagner X parties en ayant un seul kill	1 - 5 - 10	15 - 20 - 25
NEW	Tous	Cartes	Map Farmer	C'est bon, vous connaissez les maps	Faire X victoires sur chaque map	1	2
NEW	Loup	Victoires	Loup Aventurier	Et puis vous avez pris une flèche dans le genou...	Perdre X parties en Loup tout en survivant au Chasseur	1 - 5 - 10	15 - 20 - 25
NEW	Tous	Victoires	Calife à la place du Calife	Quoi de mieux que de battre le développeur du jeu	Gagner X parties contre le joueur Onutrem	1 - 5 - 10	15 - 20 - 25
NEW	Tous	Victoires	Gagnant du mois	Vous êtes beau, vous êtes grand, vous êtes gagnant... Au moins sur un mois.	Avoir X fois plus de 50 % de victoires sur un mois	1	3
NEW	Loup	Victoires	Le loup trop gentil	Vous ne vouliez vraiment blesser personne... 	Perdre X parties à la récolte en Loup sans avoir tué personne	5	10
NEW	Villageois	Victoires	Réflexe et vision ou juste pif	Vous avez mis un point final à la game, le reste...	Gagner X parties en tuant le dernier Loup en étant Chasseur	3	5
NEW	Tous	Morts	Sans Cimetière Fixe	On ne sait plus où mettre votre corps...	Mourir X fois dans toutes les zones de la map	3	5
NEW	Idiot du Village	Morts	Tir orienté	Vous savez vous mettre au bon endroit...	Mourir X fois par un tir du Chasseur en étant Idiot du Village	3	5
NEW	Scientifique	Victoires	Einstein	Votre recherche du savoir a enfin été récompensé	Gagner X victoires en Scientifique	3	5
NEW	Loup	Rôles	Le Retour des Morts	Vous avez su qu'il ou elle allait faire de grande chose	Faire X parties en ressuscitant un joueur qui en tue deux autres en étant Loup Nécromancien	1	3
NEW	Tous		Pas de Pause AFK !	Vous pensiez avoir le temps de partir ?	Être X fois ressuscité	5	10
NEW	Loup	Rôles	Tu es un Sorcier, Harry	Ce petit tour fait toujours son petit effet	Faire X parties en devinant le rôle de deux joueurs en étant Loup Devin	1	3
NEW	Chasseur de primes	Rôles	Une Dernière Volonté ?		Gagner X parties en tant que Chasseur de Primes	3	5
NEW	Vaudou	Rôles	Zombie Nation		Faire X parties en ressuscitant au moins 3 joueurs en étant Vaudou	1	3
NEW	Tous	Kills	Revenu de Loin	La vengeance est un plat qui se mange froid...	Faire X kills en Zombie	5	10
NEW	Loup	Victoires	Ménage à Trois		Gagner X parties en faisant voter le dernier Villageois en Loup lors d'un meeting à 3	1	3
NEW	Tous	Social	Et le temps passe...	Vous n'aviez pas vu que tout le monde vous attendez ?	Être X fois le seul joueur à ne pas passer	5	10
NEW	Tous		Expert des milieux hostiles	Vous ne reculez devant rien pour sauver un ami	Avoir X fois sauvé un Villageois Survivaliste	3	5
NEW	Tous		Immortel		Être X fois sauvé en étant Villageois Survivaliste	3	5
NEW	Tous		Villageois comme les autres		Avoir X fois bu une potion ou utilisé un objet en étant Zombie	1	3
NEW	Loup		Ni vu ni connu		Passer X nuits à se transformer, tuer au moins un joueur et se détransformer	10	20
NEW	Tous		Collectionneur	Vous êtes prêt en toute circonstance	Utiliser X fois 5 items différents dans une partie	5	10
NEW	Tous		Juste un dernier verre	Vous arrêtez quand vous voulez...	Faire X parties en ayant bu 10 potions	3	5
NEW	Tous	Victoires	C'est qui le patron?	C'est vous...	Faire X sessions (min. 5 parties) à 100 % de victoire	5	10
NEW	Amoureux	Kills	Moi aussi je participe !	Vous aussi vous apportez votre part à l'édifice	Avoir X fois tué un ennemi hors meeting en étant Amoureux Villageois	1	3
NEW	Amoureux	Kills	Pas de concurrence	La meilleure défense, c'est l'attaque	Avoir X fois tué deux Loups en étant Amoureux Loup	1	3
NEW	Loup	Victoires	Une game exemplaire	Tout s'est déroulé comme prévu	Gagner X parties en Loup sans faire le premier meeting	5	10
NEW	Loup	Victoires	Besoin de personne	Vous faites votre route solo et vous la faites plutôt bien	Gagner X parties en ayant réalisé tous les kills hors meeting en étant Loup	1	3
NEW	Loup	Cartes	Sabotez-les tous !	Puits, chaudron, portails, bûches... Vous les connaissez tous	Faire X Sabotage en étant Loup	5	15
