# Titres de Joueurs - Documentation

## Table des Titres

| Ordre | État | Priorité | Camp | Liens | Titre | Description | Conditions | Condition 1 | Critère 1 | Condition 2 | Critère 2 | Condition 3 | Critère 3 | Condition 4 | Critère 4 |
|-------|------|----------|------|-------|-------|-------------|------------|-------------|-----------|-------------|-----------|-------------|-----------|-------------|-----------|
| 0 | Sur le site | 20 | Tous | Victoire, Série, Parties | La Légende | Gagne tout le temps + grosses séries | 3 | Taux de victoire | Très élevé : 85 (Top 15%) | Série de victoires | Élevé : 65 (Top 35%) | Parties jouées | Undefined (min: 100) | | |
| 1 | Sur le site | 19 | Tous | Victoire, Récolte, Survie | Le·a MVP | Gagne, récolte, et survit | 3 | Taux de victoire | Élevé : 65 (Top 35%) | Récolte | Élevé : 65 (Top 35%) | Survie | Élevé : 65 (Top 35%) | | |
| 2 | Sur le site | 18 | Villageois | Rôle, Kills, Survie | Le·a Justicier·ère | Chasseur·se qui vise juste, tue souvent et survit | 3 | Précision chasseur | Élevé : 65 (Top 35%) | Taux de kills | Élevé : 65 (Top 35%) | Survie | Élevé : 65 (Top 35%) | | |
| 3 | Sur le site | 18 | Villageois | Rôle | Sniper Elite | Chasseur·se ultra précis·e | 2 | Précision de tir (chasseur) | Élevé : 65 (Top 35%) | Précision chasseur | Élevé : 65 (Top 35%) | | | | |
| 4 | Sur le site | 18 | Tous | Victoire | Le·a Caméléon | Bon dans tous les camps | 3 | Victoires Villageois | Élevé : 65 (Top 35%) | Victoires Loup | Élevé : 65 (Top 35%) | Victoires Solo | Élevé : 65 (Top 35%) | | |
| 5 | Sur le site | 18 | Loup | Récolte, Victoire, Parole | Le Loup Solitaire | Loup efficace, discret et gagnant | 3 | Récolte Loup | Élevé : 65 (Top 35%) | Victoires Loup | Élevé : 65 (Top 35%) | Temps de parole | Faible : 35 (Top 65%) | | |
| 6 | Sur le site | 18 | Tous | Récolte, Parole | La Machine | Récolte énormément sans dire un mot | 2 | Récolte | Très élevé : 85 (Top 15%) | Temps de parole | Très faible : 15 (Top 85%) | | | | |
| 7 | Sur le site | 17 | Tous | Parole, Récolte, Kills | Le·a Commentateur·rice | Ne fait que parler, ne récolte rien et tue peu | 3 | Temps de parole | Très élevé : 85 (Top 15%) | Récolte | Faible : 35 (Top 65%) | Taux de kills | Faible : 35 (Top 65%) | | |
| 8 | Sur le site | 17 | Tous | Survie | Le Phoenix | Meurt souvent tôt mais survit jusqu'au bout après | 2 | Survie Jour 1 | Faible : 35 (Top 65%) | Survie | Élevé : 65 (Top 35%) | | | | |
| 9 | Sur le site | 17 | Tous | Récolte, Survie, Parole | Le·a Robot | Productif·ve, survit, parle peu | 3 | Récolte | Élevé : 65 (Top 35%) | Survie | Élevé : 65 (Top 35%) | Temps de parole | Faible : 35 (Top 65%) | | |
| 10 | Sur le site | 17 | Tous | Parole, Récolte, Survie | Le·a Pitre | Bavard·e, improductif·ve, meurt souvent | 3 | Temps de parole | Élevé : 65 (Top 35%) | Récolte | Faible : 35 (Top 65%) | Survie | Faible : 35 (Top 65%) | | |
| 11 | Sur le site | 16 | Tous | Parole, Vote | Le·a Maître·sse de Cérémonie | Mène les débats et vote juste | 3 | Parole en meeting | Élevé : 65 (Top 35%) | Précision de vote | Élevé : 65 (Top 35%) | Vote agressif | Élevé : 65 (Top 35%) | | |
| 12 | Sur le site | 16 | Loup | Victoire, Parole | Le·a Manipulateur·rice | Loup bavard·e et gagnant·e | 2 | Victoires Loup | Élevé : 65 (Top 35%) | Temps de parole | Élevé : 65 (Top 35%) | | | | |
| 13 | Sur le site | 16 | Tous | Survie, Kills, Victoire | Le·a Diplomate | Gagne en survivant sans tuer | 3 | Survie | Élevé : 65 (Top 35%) | Taux de kills | Faible : 35 (Top 65%) | Taux de victoire | Élevé : 65 (Top 35%) | | |
| 14 | Sur le site | 16 | Tous | Parole, Récolte, Survie | Le·a Politicien·ne | Parle beaucoup, survit, mais ne récolte pas | 3 | Temps de parole | Élevé : 65 (Top 35%) | Récolte | Faible : 35 (Top 65%) | Survie | Élevé : 65 (Top 35%) | | |
| 15 | Sur le site | 15 | Loup | Survie, Victoire | Le Loup Alpha | Survit et domine en Loup | 3 | Survie | Élevé : 65 (Top 35%) | Victoires Loup | Élevé : 65 (Top 35%) | Taux de kills | Élevé : 65 (Top 35%) | | |
| 17 | Sur le site | 15 | Loup | Victoire, Parole | L'Infiltré·e | Excellent·e loup discret·ète | 2 | Victoires Loup | Élevé : 65 (Top 35%) | Temps de parole | Faible : 35 (Top 65%) | | | | |
| 18 | Sur le site | 15 | Tous | Parole, Récolte, Victoire | Monsieur·Madame Tout-le-Monde | Performance moyenne partout | 3 | Temps de parole | Moyen : 50 (Top 50%) | Récolte | Moyen : 50 (Top 50%) | Taux de victoire | Moyen : 50 (Top 50%) | | |
