Game,Date,VOD,Game Moddée,Nombre de joueurs,Nombre de loups,Rôle Traître,Rôle Amoureux,Rôles solo,Camp victorieux,Type de victoire,Nombre de journées,Survivants villageois,Survivants loups (traître inclus),Survivants amoureux,Survivants solo,Liste des gagnants,Récolte,Total récolte,Pourcentage de récolte,Liste des joueurs
1,13/10/2023,lien,FALSE,10,2,FALSE,FALSE,,Loups,Domination,4,1,1,FALSE,,"Xari, LittleBigWhale",280,1000,"28,00%","Ponce, Xari, Sakor, HortyUnderscore, LittleBigWhale, Gom4rt, Ultia, Onutrem, DFG, Crocodyle"
2,13/10/2023,lien,FALSE,10,2,,,,Villageois,Votes,3,4,0,,,"Ponce, Xari, Sakor, HortyUnderscore, LittleBigWhale, Gom4rt, Onutrem, DFG",440,1000,"44,00%","Ponce, Xari, Sakor, HortyUnderscore, LittleBigWhale, Gom4rt, Ultia, Onutrem, DFG, Crocodyle"
3,13/10/2023,lien,FALSE,10,2,,,,Loups,Domination,3,2,2,,,"Ultia, Onutrem",280,1000,"28,00%","Ponce, Xari, Sakor, HortyUnderscore, LittleBigWhale, Gom4rt, Ultia, Onutrem, DFG, Crocodyle"
4,13/10/2023,lien,FALSE,9,2,,,,Villageois,Votes,3,3,0,,,"Ponce, Xari, Sakor, LittleBigWhale, Gom4rt, Onutrem, DFG",470,1000,"47,00%","Ponce, Xari, Sakor, HortyUnderscore, LittleBigWhale, Gom4rt, Ultia, Onutrem, DFG"
5,13/10/2023,lien,FALSE,10,2,,,,Loups,Domination,5,2,2,,,"Sakor, Crocodyle",760,1000,"76,00%","Ponce, Xari, Sakor, HortyUnderscore, LittleBigWhale, Gom4rt, Ultia, Onutrem, DFG, Crocodyle"
6,13/10/2023,lien,FALSE,10,2,,,,Loups,Domination,4,1,1,,,"Ponce, LittleBigWhale",610,1000,"61,00%","Ponce, Xari, Sakor, HortyUnderscore, LittleBigWhale, Gom4rt, Ultia, Onutrem, DFG, Crocodyle"
7,13/10/2023,lien,FALSE,10,2,,,,Loups,Votes,3,2,2,,,"Crocodyle, Ultia",600,1000,"60,00%","Ponce, Xari, Sakor, HortyUnderscore, LittleBigWhale, Gom4rt, Ultia, Onutrem, DFG, Crocodyle"
8,13/10/2023,lien,FALSE,10,2,,,,Loups,Domination,4,1,2,,,"LittleBigWhale, Onutrem",680,1000,"68,00%","Ponce, Xari, Sakor, HortyUnderscore, LittleBigWhale, Gom4rt, Ultia, Onutrem, DFG, Crocodyle"
9,13/10/2023,lien,FALSE,10,2,,,,Villageois,Votes,5,3,0,,,"Ponce, Xari, Sakor, HortyUnderscore, Gom4rt, Onutrem, DFG, Crocodyle",940,1000,"94,00%","Ponce, Xari, Sakor, HortyUnderscore, LittleBigWhale, Gom4rt, Ultia, Onutrem, DFG, Crocodyle"
10,13/10/2023,lien,FALSE,10,2,,,,Villageois,Récolte,4,4,1,,,"Ponce, Sakor, HortyUnderscore, LittleBigWhale, Ultia, Onutrem, DFG, Crocodyle",1000,1000,"100,00%","Ponce, Xari, Sakor, HortyUnderscore, LittleBigWhale, Gom4rt, Ultia, Onutrem, DFG, Crocodyle"
11,19/10/2023,lien,FALSE,10,2,,,,Villageois,Votes,2,4,0,,,"Ponce, Bytell, Onutrem, Lutti, Wingo, Nahomay, Naka, BoccA",555,1200,"46,25%","Ponce, Bytell, Onutrem, GoB, Lutti, Tsuna, Wingo, Nahomay, Naka, BoccA"
12,19/10/2023,lien,FALSE,10,2,,,,Loups,Domination,3,1,1,,,"GoB, Nahomay",660,1000,"66,00%","Ponce, Bytell, Onutrem, GoB, Lutti, Tsuna, Wingo, Nahomay, Naka, BoccA"
13,19/10/2023,lien,FALSE,10,2,,,,Loups,Domination,2,1,2,,,"Bytell, Naka",495,1000,"49,50%","Ponce, Bytell, Onutrem, GoB, Lutti, Tsuna, Wingo, Nahomay, Naka, BoccA"
14,19/10/2023,lien,FALSE,10,2,,,,Loups,Domination,3,1,1,,,"GoB, Tsuna",450,1000,"45,00%","Ponce, Bytell, Onutrem, GoB, Lutti, Tsuna, Wingo, Nahomay, Naka, BoccA"
15,19/10/2023,lien,FALSE,10,2,,,,Villageois,Votes,2,5,0,,,"Ponce, Bytell, Onutrem, GoB, Lutti, Nahomay, Naka, BoccA",680,1000,"68,00%","Ponce, Bytell, Onutrem, GoB, Lutti, Tsuna, Wingo, Nahomay, Naka, BoccA"
16,19/10/2023,lien,FALSE,10,2,,,,Loups,Domination,1,2,2,,,"Lutti, Wingo",155,1000,"15,50%","Ponce, Bytell, Onutrem, GoB, Lutti, Tsuna, Wingo, Nahomay, Naka, BoccA"
17,19/10/2023,lien,FALSE,10,2,,,,Villageois,Récolte,3,8,1,,,"Ponce, Bytell, Onutrem, GoB, Lutti, Wingo, Nahomay, Naka",1005,1000,"100,50%","Ponce, Bytell, Onutrem, GoB, Lutti, Tsuna, Wingo, Nahomay, Naka, BoccA"
18,19/10/2023,lien,FALSE,10,2,,,,Villageois,Votes,2,3,0,,,"Ponce, Bytell, GoB, Lutti, Tsuna, Wingo, Nahomay, Naka",545,1000,"54,50%","Ponce, Bytell, Onutrem, GoB, Lutti, Tsuna, Wingo, Nahomay, Naka, BoccA"
19,19/10/2023,lien,FALSE,10,2,,,,Villageois,Votes,3,3,0,,,"Ponce, Bytell, Onutrem, GoB, Tsuna, Nahomay, Naka, BoccA",815,1000,"81,50%","Ponce, Bytell, Onutrem, GoB, Lutti, Tsuna, Wingo, Nahomay, Naka, BoccA"
20,19/10/2023,lien,FALSE,10,2,,,,Villageois,Récolte,3,4,1,,,"Ponce, Onutrem, GoB, Lutti, Tsuna, Wingo, Nahomay, BoccA",1000,1000,"100,00%","Ponce, Bytell, Onutrem, GoB, Lutti, Tsuna, Wingo, Nahomay, Naka, BoccA"
21,19/10/2023,lien,FALSE,10,2,,,,Villageois,Récolte,4,2,1,,,"Ponce, Bytell, Onutrem, GoB, Lutti, Tsuna, Nahomay, Naka",1025,1000,"102,50%","Ponce, Bytell, Onutrem, GoB, Lutti, Tsuna, Wingo, Nahomay, Naka, BoccA"
22,19/10/2023,lien,FALSE,10,2,,,,Villageois,Récolte,3,4,1,,,"Ponce, Bytell, Onutrem, GoB, Lutti, Wingo, Nahomay, Naka",1000,1000,"100,00%","Ponce, Bytell, Onutrem, GoB, Lutti, Tsuna, Wingo, Nahomay, Naka, BoccA"
23,19/10/2023,lien,FALSE,10,2,,,,Villageois,Votes,3,2,0,,,"Bytell, Onutrem, GoB, Lutti, Tsuna, Wingo, Nahomay, Naka",880,1200,"73,33%","Ponce, Bytell, Onutrem, GoB, Lutti, Tsuna, Wingo, Nahomay, Naka, BoccA"
24,28/12/2023,lien,FALSE,10,2,,,,Loups,Domination,2,1,2,,,"Wingo, Onutrem",765,1200,"63,75%","Ponce, Bytell, Covfefe, Khalen, Lutti, LyeGaia, Naka, Onutrem, Tsuna, Wingo"
25,28/12/2023,lien,FALSE,10,2,,,,Villageois,Votes,2,3,0,,,"Ponce, Covfefe, Khalen, Lutti, LyeGaia, Onutrem, Tsuna, Wingo",680,1200,"56,67%","Ponce, Bytell, Covfefe, Khalen, Lutti, LyeGaia, Naka, Onutrem, Tsuna, Wingo"
26,28/12/2023,lien,FALSE,10,2,,,,Villageois,Votes,2,5,0,,,"Ponce, Covfefe, Lutti, LyeGaia, Naka, Onutrem, Tsuna, Wingo",900,1200,"75,00%","Ponce, Bytell, Covfefe, Khalen, Lutti, LyeGaia, Naka, Onutrem, Tsuna, Wingo"
27,28/12/2023,lien,FALSE,10,2,,,,Villageois,Récolte,2,5,2,,,"Ponce, Bytell, Covfefe, Khalen, LyeGaia, Naka, Onutrem, Wingo",1205,1200,"100,42%","Ponce, Bytell, Covfefe, Khalen, Lutti, LyeGaia, Naka, Onutrem, Tsuna, Wingo"
28,28/12/2023,lien,FALSE,10,2,,,,Villageois,Votes,2,4,0,,,"Ponce, Bytell, Lutti, LyeGaia, Naka, Onutrem, Tsuna, Wingo",505,1200,"42,08%","Ponce, Bytell, Covfefe, Khalen, Lutti, LyeGaia, Naka, Onutrem, Tsuna, Wingo"
29,28/12/2023,lien,FALSE,10,2,,,,Loups,Domination,1,1,2,,,"Wingo, Bytell",280,1200,"23,33%","Ponce, Bytell, Covfefe, Khalen, Lutti, LyeGaia, Naka, Onutrem, Tsuna, Wingo"
30,28/12/2023,lien,FALSE,10,2,,,,Loups,Domination,2,1,1,,,"Lutti, Covfefe",725,1200,"60,42%","Ponce, Bytell, Covfefe, Khalen, Lutti, LyeGaia, Naka, Onutrem, Tsuna, Wingo"
31,28/12/2023,lien,FALSE,10,2,,,,Villageois,Récolte,3,6,2,,,"Ponce, Covfefe, Khalen, Lutti, LyeGaia, Onutrem, Tsuna, Wingo",1200,1200,"100,00%","Ponce, Bytell, Covfefe, Khalen, Lutti, LyeGaia, Naka, Onutrem, Tsuna, Wingo"
32,28/12/2023,lien,FALSE,10,2,,,,Villageois,Récolte,3,3,1,,,"Ponce, Bytell, Covfefe, Khalen, LyeGaia, Naka, Tsuna, Wingo",1200,1200,"100,00%","Ponce, Bytell, Covfefe, Khalen, Lutti, LyeGaia, Naka, Onutrem, Tsuna, Wingo"
33,28/12/2023,lien,FALSE,10,2,,,,Villageois,Récolte,3,8,1,,,"Ponce, Bytell, Khalen, Lutti, LyeGaia, Onutrem, Tsuna, Wingo",1200,1200,"100,00%","Ponce, Bytell, Covfefe, Khalen, Lutti, LyeGaia, Naka, Onutrem, Tsuna, Wingo"
34,28/12/2023,lien,FALSE,10,2,,,,Loups,Domination,1,2,2,,,"Naka, Khalen",260,2000,"13,00%","Ponce, Bytell, Covfefe, Khalen, Lutti, LyeGaia, Naka, Onutrem, Tsuna, Wingo"
